plr_id,plr_name,longitude,latitude
03200309,"Eddastraße",13.438993,52.605494
09100408,"Johannisthal Ost",13.508245,52.445017
04100101,"Jungfernheide/Plötzensee",13.296638,52.541473
03601142,"Falkplatz",13.406407,52.545575
03400831,"Pankower Tor",13.425209,52.574187
05100209,"Westerwaldstraße",13.178228,52.549388
02200213,"Graefekiez Nord",13.416003,52.493035
03400723,"Garbátyplatz",13.413412,52.570572
08100418,"Hertzbergplatz",13.450418,52.479359
10300732,"Buckower Ring",13.571499,52.523980
01300731,"Koloniestraße",13.384396,52.563542
06100103,"Markelstraße",13.321190,52.464473
02400522,"Richard-Sorge-Viertel",13.447270,52.520324
11300722,"Rathaus Lichtenberg",13.479677,52.518701
01200624,"Heidestraße",13.365309,52.531819
10300731,"Oberfeldstraße",13.556394,52.523266
02100106,"Wassertorplatz",13.410613,52.497369
04200205,"Flatowallee",13.244942,52.510577
09100409,"Landschaftspark Adlershof",13.515461,52.438661
06200317,"Lankwitz Süd",13.354807,52.422738
04501146,"Barstraße",13.311944,52.486157
08100206,"Flughafenstraße",13.429335,52.481303
03400828,"Spiekermann Straße",13.426228,52.556475
05100316,"Carl-Schurz-Straße",13.195767,52.538903
11401033,"Gensinger Straße",13.528174,52.512001
11401135,"Dolgenseestraße",13.505929,52.494532
04501041,"George-Grosz-Platz",13.319123,52.502270
04300415,"Lietzensee",13.287133,52.505815
07601238,"Marienfelde Nordost",13.384150,52.417861
02400521,"Friedenstraße",13.436614,52.520640
07300517,"Perelsplatz",13.334277,52.474650
06200311,"Alt-Lankwitz",13.358333,52.438659
12100103,"Breitkopfbecken",13.366042,52.573031
10100313,"Alt-Marzahn",13.549390,52.539615
07200411,"Julius-Leber-Brücke",13.360392,52.487978
04501149,"Nikolsburger Platz",13.326714,52.490502
03701555,"Sredzkistraße",13.417809,52.538102
09502043,"Dammheide",13.573474,52.469531
05200422,"Werkstraße",13.129769,52.532941
04501040,"Hindemithplatz",13.309613,52.502809
09502042,"Mittelheide",13.601467,52.465577
11100204,"Falkenberg West",13.522206,52.562775
03400827,"Trelleborger Viertel",13.418826,52.556681
02100102,"Mehringplatz",13.392194,52.503497
08100105,"Silbersteinstraße",13.427318,52.464495
07601341,"Diedersdorfer Weg",13.370396,52.401650
08200623,"Park am Buschkrug",13.448968,52.455781
06200422,"Oberhofer Platz",13.327907,52.422707
11400927,"Victoriastadt",13.476338,52.504286
02500729,"Pettenkofer Straße",13.472108,52.516638
01200625,"Lübecker Straße",13.348195,52.528250
09200511,"Griechischer Park",13.522175,52.460643
10400940,"Elsensee",13.600380,52.491331
12500824,"Ziekowstraße/Freie Scholle",13.295047,52.596628
06400737,"Nikolassee",13.196703,52.447156
09200715,"Wista",13.534347,52.431343
08200728,"Ortolanweg",13.464857,52.445960
08401243,"Alt-Rudow",13.501810,52.424342
02200208,"Rathaus Yorckstraße",13.384272,52.495815
08300935,"Gropiusstadt Süd-West",13.453759,52.426392
08200727,"Parchimer Allee Süd",13.445881,52.441809
01401043,"Antonstraße",13.365117,52.547437
12100206,"Humboldtstraße",13.338575,52.574937
11300620,"Fennpfuhl Ost",13.481819,52.528939
01100311,"Karl-Marx-Allee",13.421550,52.518953
12100101,"Letteplatz",13.371060,52.563708
04501042,"Breitscheidplatz",13.332461,52.503400
01100101,"Stülerstraße",13.347491,52.506444
03300413,"Karow Ost",13.484835,52.605689
09200716,"Dörpfeldstraße West",13.543876,52.437278
08200730,"Handwerker-Siedlung",13.441308,52.432132
01401048,"Leopoldplatz",13.358611,52.550847
03400619,"Wilhelmsruh",13.369548,52.587402
12500927,"Wittenau Nord",13.318106,52.595163
03200204,"Blankenfelde",13.398643,52.623578
10400941,"Pilgramer Straße",13.614262,52.488284
08100101,"Hasenheide",13.415766,52.484334
11300616,"Hohenschönhausener Straße",13.469143,52.534523
